Open,High,Low,Close,Volume,MA3,MA5,RSI,Volatility,Trend
1730412840000,0.13620000,0.13620000,0.13620000,0.13620000,0.13633333333333333,0.13678,25.0,0.0008757853618324551,0
1730412900000,0.13620000,0.13620000,0.13620000,0.13620000,0.13596666666666665,0.1365,50.0,0.0007648529270389224,0
1730412960000,0.13570000,0.13580000,0.13570000,0.13580000,0.13616666666666666,0.13628,50.0,0.0006220932405998352,0
1730413020000,0.13590000,0.13590000,0.13590000,0.13590000,0.13606666666666667,0.13598000000000002,50.0,0.0002683281572999695,1
1730413080000,0.13590000,0.13590000,0.13590000,0.13590000,0.13596666666666668,0.13604,50.0,0.000181659021245844,0
1730413140000,0.13590000,0.13590000,0.13590000,0.13590000,0.13586666666666666,0.136,25.0,0.0001870828693386913,0
1730413200000,0.13570000,0.13650000,0.13570000,0.13650000,0.1359,0.13594,25.0,0.00015165750888102621,0
1730413260000,0.13620000,0.13660000,0.13620000,0.13660000,0.1361,0.13599999999999998,50.0,0.00028284271247462465,1
1730413320000,0.13660000,0.13690000,0.13660000,0.13690000,0.13633333333333333,0.13616,50.0,0.0003577708763999723,1
1730413380000,0.13670000,0.13680000,0.13670000,0.13680000,0.1366666666666667,0.13635999999999998,75.0,0.00044497190922574223,1
1730413440000,0.13730000,0.13830000,0.13730000,0.13830000,0.13676666666666668,0.13654,75.0,0.0003911521443121609,1
1730413500000,0.13860000,0.13890000,0.13860000,0.13890000,0.13733333333333334,0.13702,75.0,0.0007328028384224513,1
1730413560000,0.13900000,0.13970000,0.13900000,0.13920000,0.138,0.1375,75.0,0.0010319883720275147,1
1730413620000,0.13890000,0.13940000,0.13890000,0.13940000,0.1388,0.13802,75.0,0.0011166915420114875,1
1730413680000,0.13940000,0.13940000,0.13940000,0.13940000,0.13916666666666666,0.13852,100.0,0.001047377677822088,1
1730413740000,0.13880000,0.13900000,0.13880000,0.13900000,0.1393333333333333,0.13904,75.0,0.00046151923036856854,1
1730413800000,0.13910000,0.13990000,0.13910000,0.13990000,0.13926666666666668,0.13918,50.0,0.0002280350850198244,1
1730413860000,0.13990000,0.13990000,0.13990000,0.13990000,0.13943333333333333,0.13938,50.0,0.00033466401061362655,1
1730413920000,0.13890000,0.13910000,0.13890000,0.13910000,0.13960000000000003,0.13952,25.0,0.000383405790253611,1
1730413980000,0.13870000,0.13870000,0.13870000,0.13870000,0.13963333333333333,0.13946,25.0,0.0004277849927241435,0
1730414040000,0.13870000,0.13870000,0.13870000,0.13870000,0.13923333333333335,0.13932000000000003,25.0,0.0005495452665613625,0
1730414100000,0.13810000,0.13810000,0.13810000,0.13810000,0.13883333333333334,0.13926,0.0,0.0006066300355241268,0
1730414160000,0.13770000,0.13770000,0.13750000,0.13760000,0.13849999999999998,0.1389,0.0,0.0006633249580710801,0
1730414220000,0.13740000,0.13770000,0.13740000,0.13770000,0.13813333333333333,0.13843999999999998,0.0,0.0005899152481501031,0
1730414280000,0.13780000,0.13800000,0.13750000,0.13770000,0.1378,0.13815999999999998,25.0,0.0005272570530585599,0
1730414340000,0.13770000,0.13770000,0.13770000,0.13770000,0.13766666666666666,0.13796,25.0,0.0004560701700396543,0
1730414400000,0.13750000,0.13770000,0.13750000,0.13770000,0.1377,0.13775999999999997,25.0,0.00019493588689618201,0
1730414460000,0.13820000,0.13980000,0.13820000,0.13980000,0.1377,0.13767999999999997,25.0,4.472135954999087e-05,1
1730414520000,0.13920000,0.13920000,0.13920000,0.13920000,0.1384,0.13812,25.0,0.00093914855054992,1
