Open,High,Low,Close,Volume,MA3,MA5,RSI,Volatility,Trend
1730412840000,1.98300000,1.98300000,1.98300000,1.98300000,1.982,1.9818000000000002,25.0,0.0004472135954999087,1
1730412900000,1.98300000,1.98300000,1.98300000,1.98300000,1.9823333333333333,1.9822,25.0,0.000447213595500008,1
1730412960000,1.98300000,1.98300000,1.98300000,1.98300000,1.9826666666666668,1.9824000000000002,25.0,0.0005477225575052274,1
1730413020000,1.98300000,1.98300000,1.98300000,1.98300000,1.9829999999999999,1.9826000000000001,25.0,0.0005477225575052274,1
1730413080000,1.98300000,1.98300000,1.98300000,1.98300000,1.9829999999999999,1.9828000000000003,25.0,0.000447213595500008,1
1730413140000,1.98300000,1.98300000,1.98300000,1.98300000,1.9829999999999999,1.983,0.0,0.0,0
1730413200000,1.98200000,1.98200000,1.98200000,1.98200000,1.9829999999999999,1.983,0.0,0.0,0
1730413260000,1.98200000,1.98200000,1.98200000,1.98200000,1.9826666666666668,1.9828,0.0,0.000447213595500008,0
1730413320000,1.98400000,1.98400000,1.98400000,1.98400000,1.9823333333333333,1.9826000000000001,0.0,0.0005477225575052274,0
1730413380000,1.98400000,1.98400000,1.98400000,1.98400000,1.9826666666666668,1.9828000000000003,25.0,0.0008366600265340895,1
1730413440000,1.98400000,1.98400000,1.98400000,1.98400000,1.9833333333333334,1.9829999999999999,25.0,0.0010000000000000009,1
1730413500000,1.98300000,1.98300000,1.98300000,1.98300000,1.984,1.9832,25.0,0.0010954451150103333,1
1730413560000,1.98400000,1.98400000,1.98400000,1.98400000,1.983666666666667,1.9834,25.0,0.0008944271909999043,1
1730413620000,1.98400000,1.98400000,1.98400000,1.98400000,1.983666666666667,1.9838,25.0,0.0004472135954999087,0
1730413680000,1.98400000,1.98400000,1.98400000,1.98400000,1.983666666666667,1.9838,25.0,0.0004472135954999087,0
1730413740000,1.98400000,1.98400000,1.98400000,1.98400000,1.984,1.9838,25.0,0.0004472135954999087,0
1730413800000,1.98400000,1.98400000,1.98400000,1.98400000,1.984,1.9838,25.0,0.0004472135954999087,1
1730413860000,1.98400000,1.98400000,1.98400000,1.98400000,1.984,1.984,0.0,0.0,0
1730413920000,1.98400000,1.98400000,1.98400000,1.98400000,1.984,1.984,0.0,0.0,0
1730413980000,1.98400000,1.98400000,1.98400000,1.98400000,1.984,1.984,0.0,0.0,0
1730414040000,1.98400000,1.98400000,1.98400000,1.98400000,1.984,1.984,0.0,0.0,0
1730414100000,1.98500000,1.98500000,1.98500000,1.98500000,1.984,1.984,0.0,0.0,0
1730414160000,1.98500000,1.98500000,1.98500000,1.98500000,1.9843333333333335,1.9842,25.0,0.000447213595500008,1
1730414220000,1.98400000,1.98400000,1.98400000,1.98400000,1.9846666666666668,1.9844000000000002,25.0,0.0005477225575052274,1
1730414280000,1.98400000,1.98400000,1.98400000,1.98400000,1.9846666666666668,1.9844000000000002,25.0,0.0005477225575052274,0
1730414340000,1.98400000,1.98400000,1.98400000,1.98400000,1.9843333333333335,1.9844000000000002,25.0,0.0005477225575052274,0
1730414400000,1.98400000,1.98400000,1.98400000,1.98400000,1.984,1.9844000000000002,0.0,0.0005477225575052274,0
1730414460000,1.98400000,1.98400000,1.98400000,1.98400000,1.984,1.9842,0.0,0.000447213595500008,0
1730414520000,1.98500000,1.98500000,1.98500000,1.98500000,1.984,1.984,0.0,0.0,0
1730414580000,1.98500000,1.98500000,1.98500000,1.98500000,1.9843333333333335,1.9842,25.0,0.000447213595500008,1
1730414640000,1.98500000,1.98500000,1.98500000,1.98500000,1.9846666666666668,1.9844000000000002,25.0,0.0005477225575052274,1
1730414700000,1.98500000,1.98500000,1.98500000,1.98500000,1.985,1.9846,25.0,0.0005477225575052274,1
1730414760000,1.98300000,1.98300000,1.98300000,1.98300000,1.985,1.9848000000000003,25.0,0.000447213595500008,1
1730414820000,1.98400000,1.98400000,1.98400000,1.98400000,1.9843333333333335,1.9846,0.0,0.0008944271909999167,0
1730414880000,1.98400000,1.98400000,1.98400000,1.98400000,1.984,1.9844000000000002,25.0,0.0008944271909999291,0
1730414940000,1.98400000,1.98400000,1.98400000,1.98400000,1.983666666666667,1.9842,25.0,0.0008366600265340895,0
1730415000000,1.98400000,1.98400000,1.98400000,1.98400000,1.984,1.984,25.0,0.0007071067811865482,0
1730415060000,1.98400000,1.98400000,1.98400000,1.98400000,1.984,1.9838,25.0,0.0004472135954999087,1
1730415120000,1.98400000,1.98400000,1.98400000,1.98400000,1.984,1.984,0.0,0.0,0
1730415180000,1.98400000,1.98400000,1.98400000,1.98400000,1.984,1.984,0.0,0.0,0
1730415240000,1.98500000,1.98500000,1.98500000,1.98500000,1.984,1.984,0.0,0.0,0
1730415300000,1.98500000,1.98500000,1.98500000,1.98500000,1.9843333333333335,1.9842,25.0,0.000447213595500008,1
1730415360000,1.98500000,1.98500000,1.98500000,1.98500000,1.9846666666666668,1.9844000000000002,25.0,0.0005477225575052274,1
1730415420000,1.98500000,1.98500000,1.98500000,1.98500000,1.985,1.9846,25.0,0.0005477225575052274,1
1730415480000,1.98200000,1.98300000,1.98200000,1.98300000,1.985,1.9848000000000003,25.0,0.000447213595500008,1
1730415540000,1.98300000,1.98300000,1.98300000,1.98300000,1.9843333333333335,1.9846,0.0,0.0008944271909999167,0
1730415600000,1.98300000,1.98300000,1.98300000,1.98300000,1.983666666666667,1.9842000000000002,0.0,0.0010954451150103333,0
1730415660000,1.98300000,1.98300000,1.98300000,1.98300000,1.9829999999999999,1.9838,0.0,0.0010954451150103333,0
1730415720000,1.98300000,1.98300000,1.98300000,1.98300000,1.9829999999999999,1.9834000000000003,0.0,0.0008944271909999167,0
1730415780000,1.98100000,1.98100000,1.98100000,1.98100000,1.9829999999999999,1.983,0.0,0.0,0
1730415840000,1.98100000,1.98100000,1.98100000,1.98100000,1.9823333333333333,1.9826000000000001,0.0,0.0008944271909999167,0
1730415900000,1.98200000,1.98300000,1.98200000,1.98300000,1.9816666666666667,1.9822,0.0,0.0010954451150103333,0
1730415960000,1.98300000,1.98300000,1.98300000,1.98300000,1.9816666666666667,1.9822,25.0,0.0010954451150103333,0
1730416020000,1.98300000,1.98300000,1.98300000,1.98300000,1.9823333333333337,1.9822000000000002,25.0,0.0010954451150103333,0
1730416080000,1.98100000,1.98100000,1.98000000,1.98000000,1.9829999999999999,1.9822000000000002,25.0,0.0010954451150103333,1
1730416140000,1.98000000,1.98000000,1.98000000,1.98000000,1.982,1.9820000000000004,25.0,0.0014142135623731356,0
